"last_name, first_name",player_id,year,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,avg,slg_percent,on_base_percent,on_base_plus_slg,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Hernández, César",514917,2022,560,617,139,106,28,4,1,114,45,18.5,7.3,0.248,0.318,0.311,0.629,0.283,0.29,33.3,2.4,29.7,96.449267051,92.257329931,20.4,47.5
"Tellez, Rowdy",642133,2022,529,599,116,58,23,0,35,121,62,20.2,10.4,0.219,0.461,0.306,0.767,0.327,0.349,31.4,12.9,46,102.553838927,95.690567213,23.8,43.5
"Rojas, Miguel",500743,2022,471,507,111,84,19,2,6,61,26,12,5.1,0.236,0.323,0.283,0.606,0.268,0.293,33.1,1.9,27.1,96.249960631,92.126001845,15.5,47.9
"McNeil, Jeff",643446,2022,533,589,174,125,39,1,9,61,40,10.4,6.8,0.326,0.454,0.382,0.836,0.365,0.323,39,2.7,30.2,96.275278692,92.172015654,15.9,53.8
"Ozuna, Marcell",542303,2022,470,507,106,64,19,0,23,122,31,24.1,6.1,0.226,0.413,0.274,0.687,0.298,0.334,31.8,13.1,43.8,101.775141886,95.035047714,28.7,49.4
"Vaughn, Andrew",683734,2022,510,555,138,92,28,1,17,96,31,17.3,5.6,0.271,0.429,0.321,0.75,0.327,0.319,34.1,7.9,48.6,101.162950291,95.12858284,21,47
"Goldschmidt, Paul",502671,2022,561,651,178,102,41,0,35,141,79,21.7,12.1,0.317,0.578,0.404,0.982,0.419,0.367,31.8,11.6,47.4,102.244608246,95.440152299,26.8,41.7
"Alonso, Pete",624413,2022,597,685,162,95,27,0,40,128,67,18.7,9.8,0.271,0.518,0.352,0.87,0.366,0.353,34.5,12.3,44.8,102.849215397,95.616516548,24.2,49.9
"Correa, Carlos",621043,2022,522,590,152,105,24,1,22,121,61,20.5,10.3,0.291,0.467,0.366,0.833,0.362,0.363,35.3,11.4,44.7,101.992873251,95.284200765,22,44.4
"Merrifield, Whit",593160,2022,504,550,126,86,28,1,11,85,38,15.5,6.9,0.25,0.375,0.298,0.673,0.294,0.288,37.9,4.2,31.1,96.383459857,92.27510481,19.4,50.9
"Cruz Jr., Nelson",443558,2022,448,507,105,79,16,0,10,119,49,23.5,9.7,0.234,0.337,0.313,0.65,0.292,0.32,28,9.3,46.1,102.29838061,95.468978262,32,50.8
"Rodgers, Brendan",663898,2022,527,581,140,94,30,3,13,101,46,17.4,7.9,0.266,0.408,0.325,0.733,0.321,0.326,31.3,7.2,45.9,101.127645047,94.882864603,22.7,49.4
"Betts, Mookie",605141,2022,572,639,154,76,40,3,35,104,55,16.3,8.6,0.269,0.533,0.34,0.873,0.373,0.344,36.2,9.7,44.9,99.954466043,94.497072751,16.5,44.2
"Canha, Mark",592192,2022,462,542,123,86,24,0,13,97,48,17.9,8.9,0.266,0.403,0.367,0.77,0.343,0.323,32.2,4.9,36.6,98.317698315,93.261380654,22.1,42.9
"Winker, Jesse",608385,2022,456,547,100,71,15,0,14,103,84,18.8,15.4,0.219,0.344,0.344,0.688,0.313,0.345,32,7.6,34.3,98.674499266,93.339254492,19.9,43.3
"Turner, Trea",607208,2022,652,708,194,130,39,4,21,131,45,18.5,6.4,0.298,0.466,0.343,0.809,0.35,0.335,35.3,7.6,41.6,100.188198893,94.238854962,26.3,51.2
"Rosario, Amed",642708,2022,637,670,180,134,26,9,11,111,25,16.6,3.7,0.283,0.403,0.312,0.715,0.311,0.31,31.1,4.5,38.3,99.690201132,93.991990529,21,53.1
"Drury, Brandon",592273,2022,518,568,136,75,31,2,28,126,38,22.2,6.7,0.263,0.492,0.32,0.812,0.35,0.316,34.8,10.4,42.2,100.586892132,94.438998321,21.5,45.9
"Thomas, Lane",657041,2022,498,548,120,75,26,2,17,132,41,24.1,7.5,0.241,0.404,0.301,0.705,0.308,0.286,32.6,6.5,34.5,98.449522283,93.255458474,21.1,44.1
"Arozarena, Randy",668227,2022,586,645,154,90,41,3,20,156,46,24.2,7.1,0.263,0.445,0.327,0.772,0.336,0.301,28.2,7.9,41,101.17822,94.772195116,28.6,46.1
"García, Adolis",666969,2022,605,657,151,85,34,5,27,183,40,27.9,6.1,0.25,0.456,0.3,0.756,0.324,0.322,36.9,12.9,47.4,102.368780141,95.786867388,33.5,53.5
"Witt Jr., Bobby",677951,2022,591,632,150,93,31,6,20,135,30,21.4,4.7,0.254,0.428,0.294,0.722,0.311,0.313,32.5,8.7,38.6,100.836506783,94.527115512,25.2,51.8
"Chapman, Matt",656305,2022,538,621,123,68,27,1,27,170,68,27.4,11,0.229,0.433,0.324,0.757,0.331,0.341,34,12.9,51.2,102.906606237,96.223630699,28.7,41.7
"McCutchen, Andrew",457705,2022,515,580,122,80,25,0,17,124,57,21.4,9.8,0.237,0.384,0.316,0.7,0.309,0.325,36.2,8.6,40,99.92693269,94.143160838,24.2,44.9
"Rodríguez, Julio",677594,2022,511,560,145,89,25,3,28,145,40,25.9,7.1,0.284,0.509,0.345,0.854,0.366,0.337,32.7,13.1,50.7,103.718795769,96.379006446,30.4,50.2
"Giménez, Andrés",665926,2022,491,557,146,100,26,3,17,112,34,20.1,6.1,0.297,0.466,0.371,0.837,0.364,0.326,31.3,6.2,37.8,99.022592,93.615976351,26.2,53.7
"Abreu, José",547989,2022,601,679,183,128,40,0,15,110,62,16.2,9.1,0.304,0.446,0.378,0.824,0.361,0.373,34.5,9.5,51.8,102.953606518,96.20270568,23.2,47.3
"Lowe, Nathaniel",663993,2022,593,645,179,123,26,3,27,147,48,22.8,7.4,0.302,0.492,0.358,0.85,0.368,0.344,34.1,9.9,44.8,101.963916216,95.317229707,24.9,52.2
"Turner, Justin",457759,2022,468,532,130,81,36,0,13,89,50,16.7,9.4,0.278,0.438,0.35,0.788,0.343,0.339,40.6,8,40.6,99.002545648,93.736858523,20.3,48.2
"Profar, Jurickson",595777,2022,575,658,140,87,36,2,15,103,73,15.7,11.1,0.243,0.391,0.331,0.722,0.32,0.315,34.7,4,34.3,97.859468559,92.98708518,18.7,43.6
