"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","pitch_hand"
"Kremer, Dean","665152","2022","26","22","125.1","512","469","123","85","27","0","11","87","34",17,6.6,".262",".390",".318","0.708",".312",".326",36.6,7.3,39.2,"76.970003579","94.020185237",22.2,50.7,"R"
"Manoah, Alek","666201","2022","24","31","196.2","786","713","144","97","30","1","16","180","51",22.9,6.5,".202",".314",".268","0.582",".261",".284",33,5.4,31.5,"77.162472322","92.941560807",24.8,49.5,"R"
"Plesac, Zach","668676","2022","27","25","131.2","568","524","136","87","30","0","19","100","38",17.6,6.7,".260",".426",".315","0.741",".324",".351",37.6,9.6,41.5,"78.809965782","94.240411663",22,51.5,"R"
"Gallen, Zac","668678","2022","26","31","184.0","714","651","121","73","32","1","15","192","47",26.9,6.6,".186",".307",".252","0.559",".250",".278",33,7.8,36.1,"76.866627074","93.452634902",23,47.4,"R"
"Greene, Hunter","668881","2022","22","24","125.2","531","469","104","59","21","0","24","164","48",30.9,9,".222",".420",".305","0.725",".318",".310",35.6,9.4,40.1,"79.380686169","94.284722541",31.9,48.8,"R"
"Wilson, Bryse","669060","2022","24","25","115.2","509","460","132","82","29","1","20","79","32",15.5,6.3,".287",".485",".341","0.826",".356",".358",37.6,7.7,43.8,"80.680833316","94.94142239",17.8,47.8,"R"
"Burnes, Corbin","669203","2022","27","33","202.0","797","731","144","91","24","6","23","243","51",30.5,6.4,".197",".341",".261","0.602",".267",".273",31.6,5.7,34.1,"75.64792823","93.404000041",35.2,46.2,"R"
"Gilbert, Logan","669302","2022","25","32","185.2","766","702","170","107","41","3","19","174","49",22.7,6.4,".242",".390",".295","0.685",".299",".314",37.6,7.1,45.6,"80.915132121","95.054543814",24.2,50.3,"R"
"Bieber, Shane","669456","2022","27","31","200.0","791","747","172","123","29","2","18","198","36",25,4.6,".230",".347",".266","0.613",".269",".292",32.4,7.2,43.1,"79.516670909","94.359625491",29.7,49.7,"R"
"Kirby, George","669923","2022","24","25","130.0","542","511","135","97","23","2","13","133","22",24.5,4.1,".264",".393",".299","0.692",".302",".284",31.4,8.9,38.7,"78.655938191","94.146828112",21.2,52.6,"R"
"Detmers, Reid","672282","2022","22","25","129.0","539","477","110","68","27","2","13","122","46",22.6,8.5,".231",".377",".305","0.682",".300",".312",39.9,8,38.6,"79.42641674","93.829833352",25.3,48.3,"L"
"Strider, Spencer","675911","2022","23","31","131.2","528","478","86","61","17","1","7","202","45",38.3,8.5,".180",".264",".254","0.518",".235",".242",32.7,6.1,36,"77.317558633","93.436230072",34.9,50,"R"
"Garcia, Luis","677651","2022","25","28","157.1","643","589","131","77","27","4","23","157","47",24.4,7.3,".222",".399",".279","0.678",".295",".294",35.4,7.8,36.3,"77.928197512","93.46698963",29.1,48.9,"R"
"Gray, Josiah","680686","2022","24","28","148.2","649","569","136","74","20","4","38","154","66",23.7,10.2,".239",".489",".324","0.813",".350",".319",33.6,10.7,36.9,"75.597201498","93.715460483",26.9,44.8,"R"
"Bradish, Kyle","680694","2022","25","23","117.2","509","449","119","84","18","0","17","111","46",21.8,9,".265",".419",".340","0.759",".334",".327",31.4,7.8,41,"79.161812105","94.57371783",23.6,45.4,"R"
