"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Martinez, Justin","679885","2024","238","135",0.202,0.21,-0.00799999999999998,0.241,0.274,-0.03300000000000003,0.251,0.273,-0.02200000000000002,"1.90","3.01","-1.115"
"Rogers, Tyler","643511","2024","235","184",0.247,0.228,0.01899999999999999,0.386,0.33,0.055999999999999994,0.281,0.256,0.025000000000000022,"2.78","2.64","0.137"
"Wentz, Joey","666214","2024","235","150",0.267,0.243,0.02400000000000002,0.421,0.393,0.02799999999999997,0.339,0.322,0.017000000000000015,"5.12","4.28","0.838"
"Hill, Tim","657612","2024","234","197",0.323,0.274,0.04899999999999999,0.382,0.343,0.03899999999999998,0.331,0.297,0.03400000000000003,"4.06","3.59","0.469"
"Strickland, Hunter","519326","2024","234","169",0.203,0.227,-0.023999999999999994,0.368,0.401,-0.03300000000000003,0.278,0.3,-0.021999999999999964,"3.53","3.67","-0.142"
"Sands, Cole","663485","2024","233","155",0.223,0.237,-0.013999999999999985,0.33,0.401,-0.07100000000000001,0.26,0.293,-0.032999999999999974,"3.18","3.49","-0.314"
"Harris, Hogan","663687","2024","233","164",0.26,0.281,-0.02100000000000002,0.412,0.475,-0.063,0.333,0.365,-0.03199999999999997,"2.98","5.70","-2.718"
"Puk, A.J.","640462","2024","233","147",0.206,0.213,-0.007000000000000006,0.328,0.315,0.013000000000000012,0.279,0.278,0.0010000000000000009,"3.60","3.12","0.48"
"Contreras, Roansy","672710","2024","233","155",0.233,0.248,-0.014999999999999986,0.371,0.413,-0.04199999999999998,0.299,0.324,-0.025000000000000022,"3.79","4.34","-0.553"
"Ginkel, Kevin","656464","2024","232","157",0.241,0.236,0.0050000000000000044,0.343,0.347,-0.003999999999999948,0.277,0.276,0.0010000000000000009,"2.67","3.08","-0.411"
"Leclerc, José","600917","2024","232","126",0.214,0.206,0.008000000000000007,0.362,0.355,0.007000000000000006,0.306,0.3,0.006000000000000005,"4.70","3.67","1.026"
"Smith, Cade","671922","2024","231","131",0.192,0.206,-0.013999999999999985,0.282,0.313,-0.031000000000000028,0.241,0.259,-0.018000000000000016,"1.95","2.70","-0.75"
"García, Luis","472610","2024","230","163",0.256,0.241,0.015000000000000013,0.417,0.397,0.019999999999999962,0.315,0.302,0.013000000000000012,"5.06","3.72","1.343"
"Miller, Erik","669062","2024","229","130",0.195,0.185,0.010000000000000009,0.349,0.309,0.03999999999999998,0.296,0.279,0.01699999999999996,"3.93","3.15","0.777"
"Darvish, Yu","506433","2024","229","160",0.216,0.233,-0.017000000000000015,0.365,0.391,-0.026000000000000023,0.275,0.297,-0.021999999999999964,"3.19","3.59","-0.395"
"Vest, Will","676684","2024","228","158",0.252,0.266,-0.014000000000000012,0.337,0.38,-0.04299999999999998,0.284,0.311,-0.027000000000000024,"3.19","3.96","-0.774"
"Fernandez, Ryan","681676","2024","227","149",0.231,0.232,-0.0010000000000000009,0.338,0.344,-0.00599999999999995,0.289,0.307,-0.018000000000000016,"3.50","3.85","-0.35"
"Robertson, David","502085","2024","227","124",0.213,0.216,-0.0030000000000000027,0.292,0.331,-0.039000000000000035,0.258,0.273,-0.015000000000000013,"3.11","3.01","0.099"
"Elder, Bryce","693821","2024","226","161",0.311,0.286,0.025000000000000022,0.49,0.446,0.043999999999999984,0.37,0.344,0.026000000000000023,"6.52","4.96","1.563"
"Pearson, Nate","663878","2024","225","142",0.263,0.236,0.027000000000000024,0.47,0.434,0.035999999999999976,0.341,0.327,0.014000000000000012,"4.91","4.43","0.479"
"Scott, Tanner","656945","2024","224","130",0.159,0.186,-0.026999999999999996,0.228,0.281,-0.05300000000000002,0.236,0.266,-0.030000000000000027,"1.63","2.85","-1.223"
"Cruz, Fernando","518585","2024","224","117",0.228,0.248,-0.01999999999999999,0.404,0.409,-0.004999999999999949,0.318,0.328,-0.010000000000000009,"5.43","4.46","0.975"
"Williams, Trevor","592866","2024","224","161",0.221,0.228,-0.007000000000000006,0.299,0.361,-0.062,0.253,0.287,-0.033999999999999975,"2.22","3.34","-1.116"
"Cole, Gerrit","543037","2024","224","145",0.268,0.246,0.02200000000000002,0.454,0.427,0.027000000000000024,0.34,0.32,0.020000000000000018,"4.15","4.22","-0.066"
"Anderson, Chase","502624","2024","224","167",0.231,0.246,-0.014999999999999986,0.417,0.441,-0.02400000000000002,0.312,0.332,-0.020000000000000018,"4.85","4.58","0.266"
"Chavez, Jesse","445926","2024","224","158",0.243,0.262,-0.019000000000000017,0.436,0.421,0.015000000000000013,0.318,0.323,-0.0050000000000000044,"2.85","4.31","-1.459"
"Matsui, Yuki","673513","2024","224","143",0.203,0.213,-0.009999999999999981,0.34,0.324,0.016000000000000014,0.268,0.27,-0.0020000000000000018,"3.27","2.94","0.333"
"Lawrence, Justin","664875","2024","223","155",0.308,0.29,0.018000000000000016,0.476,0.449,0.02699999999999997,0.38,0.368,0.01200000000000001,"6.47","5.81","0.663"
"Milner, Hoby","571948","2024","223","157",0.277,0.255,0.02200000000000002,0.426,0.361,0.065,0.318,0.285,0.03300000000000003,"4.92","3.29","1.635"
"Brown, Ben","676962","2024","222","138",0.208,0.237,-0.028999999999999998,0.33,0.407,-0.07699999999999996,0.268,0.32,-0.05199999999999999,"3.58","4.22","-0.642"
"Santana, Dennis","642701","2024","222","150",0.261,0.248,0.013000000000000012,0.422,0.379,0.04299999999999998,0.328,0.308,0.020000000000000018,"5.16","3.88","1.279"
"Turnbull, Spencer","605513","2024","222","139",0.188,0.233,-0.04500000000000001,0.325,0.39,-0.065,0.272,0.313,-0.04099999999999998,"2.65","4.02","-1.37"
"Kopech, Michael","656629","2024","221","119",0.193,0.199,-0.006000000000000005,0.326,0.366,-0.03999999999999998,0.279,0.296,-0.01699999999999996,"3.91","3.56","0.346"
"Harvey, Hunter","640451","2024","219","143",0.259,0.279,-0.020000000000000018,0.442,0.455,-0.013000000000000012,0.332,0.345,-0.012999999999999956,"4.44","5.00","-0.559"
