"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Gelof, Zack","680869","2024","410","230",0.199,0.195,0.0040000000000000036,0.364,0.357,0.007000000000000006,0.277,0.274,0.0030000000000000027
"Thomas, Lane","657041","2024","407","264",0.231,0.254,-0.022999999999999993,0.368,0.377,-0.009000000000000008,0.3,0.317,-0.017000000000000015
"France, Ty","664034","2024","406","267",0.227,0.232,-0.0050000000000000044,0.368,0.41,-0.04199999999999998,0.302,0.317,-0.015000000000000013
"Sheets, Gavin","657757","2024","406","278",0.239,0.253,-0.014000000000000012,0.376,0.389,-0.013000000000000012,0.303,0.315,-0.01200000000000001
"Kelenic, Jarred","672284","2024","405","258",0.239,0.245,-0.006000000000000005,0.403,0.419,-0.01599999999999996,0.301,0.311,-0.010000000000000009
"Adell, Jo","666176","2024","403","252",0.207,0.231,-0.02400000000000002,0.398,0.439,-0.04099999999999998,0.293,0.319,-0.026000000000000023
"Gorman, Nolan","669357","2024","402","216",0.203,0.213,-0.009999999999999981,0.4,0.445,-0.044999999999999984,0.29,0.312,-0.02200000000000002
"Heim, Jonah","641680","2024","400","303",0.231,0.237,-0.005999999999999978,0.346,0.375,-0.029000000000000026,0.274,0.287,-0.012999999999999956
"Martinez, J.D.","502110","2024","400","239",0.253,0.267,-0.014000000000000012,0.44,0.495,-0.05499999999999999,0.339,0.364,-0.024999999999999967
"Hoskins, Rhys","656555","2024","399","245",0.219,0.203,0.015999999999999986,0.424,0.395,0.02899999999999997,0.316,0.301,0.015000000000000013
"Benintendi, Andrew","643217","2024","399","295",0.211,0.247,-0.036000000000000004,0.358,0.393,-0.03500000000000003,0.272,0.3,-0.02799999999999997
"Hayes, Ke'Bryan","663647","2024","396","294",0.233,0.245,-0.011999999999999983,0.29,0.329,-0.039000000000000035,0.256,0.278,-0.02200000000000002
"Albies, Ozzie","645277","2024","394","304",0.258,0.253,0.0050000000000000044,0.407,0.394,0.012999999999999956,0.311,0.306,0.0050000000000000044
"Pages, Andy","681624","2024","394","264",0.246,0.248,-0.0020000000000000018,0.388,0.407,-0.01899999999999996,0.303,0.315,-0.01200000000000001
"Lux, Gavin","666158","2024","391","274",0.253,0.266,-0.013000000000000012,0.398,0.399,-0.0010000000000000009,0.31,0.317,-0.007000000000000006
"Rojas, Josh","668942","2024","390","264",0.227,0.226,0.0010000000000000009,0.345,0.367,-0.02200000000000002,0.29,0.297,-0.007000000000000006
"Blackmon, Charlie","453568","2024","389","288",0.252,0.246,0.006000000000000005,0.391,0.357,0.03400000000000003,0.312,0.298,0.014000000000000012
"Stephenson, Tyler","663886","2024","389","274",0.25,0.25,0,0.454,0.423,0.031000000000000028,0.336,0.328,0.008000000000000007
"Ramos, Heliot","671218","2024","385","248",0.283,0.253,0.02999999999999997,0.494,0.502,-0.008000000000000007,0.356,0.345,0.01100000000000001
"O'Hearn, Ryan","656811","2024","383","293",0.275,0.29,-0.014999999999999958,0.444,0.501,-0.056999999999999995,0.345,0.373,-0.028000000000000025
"Turner, Trea","607208","2024","382","287",0.305,0.263,0.04199999999999998,0.476,0.425,0.05099999999999999,0.356,0.318,0.03799999999999998
"Wong, Connor","657136","2024","382","264",0.286,0.232,0.053999999999999965,0.426,0.354,0.07200000000000001,0.334,0.287,0.04700000000000004
"Ortiz, Joey","687401","2024","381","258",0.248,0.24,0.008000000000000007,0.402,0.357,0.04500000000000004,0.329,0.316,0.013000000000000012
"Mullins, Cedric","656775","2024","380","267",0.227,0.217,0.010000000000000009,0.399,0.348,0.051000000000000045,0.298,0.275,0.022999999999999965
"Conforto, Michael","624424","2024","379","247",0.237,0.244,-0.007000000000000006,0.439,0.459,-0.020000000000000018,0.326,0.338,-0.01200000000000001
"Caballero, José","676609","2024","379","243",0.234,0.227,0.007000000000000006,0.368,0.336,0.03199999999999997,0.29,0.281,0.008999999999999952
"Pérez, Wenceel","672761","2024","378","274",0.242,0.254,-0.01200000000000001,0.386,0.371,0.015000000000000013,0.298,0.3,-0.0020000000000000018
"Kepler, Max","596146","2024","378","275",0.262,0.252,0.010000000000000009,0.398,0.396,0.0020000000000000018,0.31,0.31,0
"Haniger, Mitch","571745","2024","376","230",0.211,0.229,-0.018000000000000016,0.353,0.394,-0.041000000000000036,0.285,0.308,-0.02300000000000002
"Schneider, Davis","676914","2024","374","217",0.2,0.2,0,0.348,0.362,-0.014000000000000012,0.284,0.295,-0.01100000000000001
"Siri, Jose","642350","2024","374","202",0.199,0.215,-0.015999999999999986,0.386,0.447,-0.061,0.285,0.317,-0.03200000000000003
"Betts, Mookie","605141","2024","374","279",0.303,0.29,0.013000000000000012,0.492,0.458,0.033999999999999975,0.387,0.37,0.017000000000000015
