"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Gorman, Nolan","669357","2024","24","365","402","74","40","15","0","19","151","34",37.6,8.5,".203",".400",".271","0.671",".290",".312",40.3,16.7,38.6,"100.727790741","94.443953953",38.7,51
"Rutschman, Adley","668939","2024","26","451","504","118","83","16","1","18","80","44",15.9,8.7,".262",".421",".325","0.746",".322",".331",37.6,7.1,39.4,"98.706292222","93.519534021",17.4,45.4
"Turang, Brice","668930","2024","24","435","485","112","84","17","4","7","85","40",17.5,8.2,".257",".363",".321","0.684",".302",".303",33.2,3.1,31.8,"97.334051453","92.781678895",13.1,46.6
"Schwarber, Kyle","656941","2024","31","435","534","108","66","14","0","28","148","88",27.7,16.5,".248",".474",".375","0.849",".366",".375",30.6,13.3,54.4,"105.102938844","97.442170442",31.8,38.4
"Langford, Wyatt","694671","2024","22","374","416","91","63","17","4","7","86","37",20.7,8.9,".243",".366",".313","0.679",".296",".315",32,7.6,42.6,"100.839026207","94.572560727",22.6,42.9
"Hayes, Ke'Bryan","663647","2024","27","365","396","85","72","9","0","4","75","23",18.9,5.8,".233",".290",".283","0.573",".256",".278",29.9,2.4,42.9,"99.837230137","94.135653938",18.1,44.8
"Burger, Jake","669394","2024","28","402","437","100","59","15","1","25","117","24",26.8,5.5,".249",".478",".302","0.780",".333",".337",30.9,13.2,47.6,"103.847287431","96.31215885",30,52.1
"Profar, Jurickson","595777","2024","31","447","523","129","87","22","0","20","78","57",14.9,10.9,".289",".472",".386","0.858",".373",".365",31.9,7.8,42.1,"100.590092174","94.586292616",17.2,45.3
"De La Cruz, Bryan","650559","2024","27","488","520","117","80","19","0","18","141","27",27.1,5.2,".240",".389",".281","0.670",".291",".314",35.2,10,41.5,"99.932835","94.254590402",30,53.7
"Semien, Marcus","543760","2024","33","513","566","125","81","24","2","18","84","51",14.8,9,".244",".404",".313","0.717",".312",".323",34.2,6,34.7,"97.757305374","92.975862553",20.6,49.7
