"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","maxeff_arm_2b_3b_sba","n_outs_above_average"
"Castillo, Diego A.","660636","2022","24","262","283","54","30","13","0","11","75","14",26.5,4.9,".206",".382",".251","0.633",".272",".292",37.7,9.9,38.7,"98.736440729","93.490571675",26.7,43.7,,"0"
"Neuse, Sheldon","641914","2022","27","271","293","58","48","4","2","4","80","20",27.3,6.8,".214",".288",".273","0.561",".253",".254",23,3.1,38.2,"98.983222447","93.674738289",27.2,50.7,,
"Olson, Matt","621566","2022","28","616","699","148","70","44","0","34","170","75",24.3,10.7,".240",".477",".325","0.802",".344",".347",33.8,13.6,50.9,"103.665099911","96.545680491",28.9,49.5,,
"Hernández, César","514917","2022","32","560","617","139","106","28","4","1","114","45",18.5,7.3,".248",".318",".311","0.629",".283",".290",33.3,2.4,29.7,"96.449267051","92.257329931",20.4,47.5,,"1"
"Riley, Austin","663586","2022","25","615","693","168","89","39","2","38","168","57",24.2,8.2,".273",".528",".349","0.877",".377",".378",37.7,15.7,50.8,"104.398300222","96.785171533",27.6,51.5,,
"Davis, J.D.","605204","2022","29","318","365","79","50","16","1","12","122","39",33.4,10.7,".248",".418",".340","0.758",".333",".351",34.8,16.2,56.1,"103.966730202","96.76614",37.4,51.3,,
"Straw, Myles","664702","2022","27","535","596","118","93","22","3","0","87","54",14.6,9.1,".221",".273",".291","0.564",".257",".275",34.1,0.7,26.5,"95.486124533","91.784236481",12.6,40.5,,"13"
"McGuire, Reese","624512","2022","27","249","274","67","49","14","1","3","56","12",20.4,4.4,".269",".369",".307","0.676",".297",".267",33.2,2.5,29.7,"96.374747396","92.217287539",20.8,51.7,"80.2",
"Dalbec, Bobby","666915","2022","27","317","353","68","45","9","2","12","118","29",33.4,8.2,".215",".369",".283","0.652",".287",".296",32,11.8,45.8,"101.246531881","94.95935203",35,46.5,,
"Walker, Christian","572233","2022","31","583","667","141","78","25","2","36","131","69",19.6,10.3,".242",".477",".327","0.804",".346",".359",33.3,11.5,44,"101.466371179","95.00141326",24.6,44.7,,
"Cruz, Oneil","665833","2022","23","331","361","77","43","13","4","17","126","28",34.9,7.8,".233",".450",".294","0.744",".320",".301",30.6,15.5,46.1,"104.662067282","96.683239073",35.4,40.5,,
"Narváez, Omar","553882","2022","30","262","296","54","37","12","1","4","57","29",19.3,9.8,".206",".305",".292","0.597",".269",".268",36.7,2.4,18.4,"94.078356176","91.054216305",23.4,50,"79",
"France, Ty","664034","2022","27","551","613","151","103","27","1","20","94","35",15.3,5.7,".274",".436",".338","0.774",".337",".321",34.8,5.4,36.8,"99.035163319","93.565264683",19.3,52.5,,
"Cronenworth, Jake","630105","2022","28","587","684","140","89","30","4","17","131","70",19.2,10.2,".239",".390",".332","0.722",".318",".303",32.3,5.6,34.1,"97.917362826","93.091918039",18,41.8,,
"Velazquez, Andrew","623205","2022","27","322","349","63","46","8","0","9","119","15",34.1,4.3,".196",".304",".236","0.540",".239",".246",33,6.6,34,"98.780373093","93.494339433",34,53.9,,
"Nimmo, Brandon","607043","2022","29","580","673","159","106","30","7","16","116","71",17.2,10.5,".274",".433",".367","0.800",".353",".338",28.1,7,39.8,"100.251301732","94.354698482",19.6,43.8,,"6"
"Brantley Jr., Michael","488726","2022","35","243","277","70","50","14","1","5","30","31",10.8,11.2,".288",".416",".370","0.786",".345",".374",39.5,6,45.1,"99.739801321","94.323002844",12.7,41.5,,"-1"
"Gurriel, Yuli","493329","2022","38","545","584","132","84","40","0","8","73","30",12.5,5.1,".242",".360",".288","0.648",".285",".271",30.3,1.9,35.6,"98.291200127","93.270425297",14.3,48.5,,
"Nido, Tomás","621512","2022","28","284","313","68","50","15","0","3","76","14",24.3,4.5,".239",".324",".276","0.600",".265",".284",40.1,6.3,33.3,"97.78503301","92.921847902",34.4,60.5,"77.4",
"Profar, Jurickson","595777","2022","29","575","658","140","87","36","2","15","103","73",15.7,11.1,".243",".391",".331","0.722",".320",".315",34.7,4,34.3,"97.859468559","92.98708518",18.7,43.6,,"-6"
"Frazier, Adam","624428","2022","30","541","602","129","100","22","4","3","73","46",12.1,7.6,".238",".311",".301","0.612",".274",".297",37.7,1.5,24.5,"95.048135872","91.524067936",14.4,48.7,,"0"
"Stassi, Max","545358","2022","31","333","375","60","38","12","1","9","112","38",29.9,10.1,".180",".303",".267","0.570",".258",".266",26,9.4,39.5,"98.972653514","93.67534181",34,44.1,"80.3",
"Molina, Yadier","425877","2022","39","262","270","56","43","8","0","5","40","5",14.8,1.9,".214",".302",".233","0.535",".235",".254",34.1,3.1,26,"95.0195225","91.560423363",22,58.6,"79.9",
"Nootbaar, Lars","663457","2022","24","290","347","66","33","16","3","14","71","51",20.5,14.7,".228",".448",".340","0.788",".342",".346",30.4,12.1,46,"101.790400273","95.340542192",23.5,39.2,,"1"
"Hedges, Austin","595978","2022","29","294","338","48","37","4","0","7","78","25",23.1,7.4,".163",".248",".241","0.489",".225",".238",31.9,3.1,22.3,"94.912102385","91.52196977",27.1,47.6,"82.1",
"Taveras, Leody","665750","2022","23","314","341","82","61","14","2","5","88","21",25.8,6.2,".261",".366",".309","0.675",".297",".267",28.7,4.3,36.1,"99.307027387","93.803918054",28.1,49.2,,"4"
"Contreras, William","661388","2022","24","334","376","93","58","14","1","20","104","39",27.7,10.4,".278",".506",".354","0.860",".370",".347",31.9,13.4,46.6,"102.334962328","95.58762026",34.3,44.6,"81.9",
"Ruf, Darin","573131","2022","35","334","388","68","45","12","0","11","105","45",27.1,11.6,".204",".338",".307","0.645",".291",".310",34.5,8.6,40.5,"100.481181724","94.46914931",27.5,40.4,,"-7"
"Mullins II, Cedric","656775","2022","27","608","672","157","105","32","4","16","126","47",18.8,7,".258",".403",".318","0.721",".315",".288",29.3,4.9,37.3,"98.895231356","93.569582691",22.2,51.3,,"9"
"Arenado, Nolan","571448","2022","31","557","620","163","90","42","1","30","72","52",11.6,8.4,".293",".533",".358","0.891",".381",".339",35.4,8.2,38.9,"99.558566721","93.952810862",19.1,48.4,,
"Dickerson, Corey","572816","2022","33","281","297","75","51","17","1","6","48","12",16.2,4,".267",".399",".300","0.699",".303",".293",32.8,3.8,32.8,"97.888667863","93.019717253",22.8,58.4,,"1"
"Celestino, Gilberto","665482","2022","23","311","347","74","59","12","1","2","77","32",22.2,9.2,".238",".302",".313","0.615",".280",".270",27.1,2.5,34.3,"98.33701431","93.262711767",23.4,44.5,,"2"
"Choi, Ji Man","596847","2022","31","356","419","83","50","22","0","11","123","58",29.4,13.8,".233",".388",".341","0.729",".322",".337",37.3,11.9,47.5,"101.295507712","95.335577574",32.3,41.7,,
"Story, Trevor","596115","2022","29","357","396","85","47","22","0","16","122","32",30.8,8.1,".238",".434",".303","0.737",".316",".301",36,11.3,40.6,"100.613635333","94.400984812",30.8,49.8,,
"Abreu, José","547989","2022","35","601","679","183","128","40","0","15","110","62",16.2,9.1,".304",".446",".378","0.824",".361",".373",34.5,9.5,51.8,"102.953606518","96.20270568",23.2,47.3,,
"Garcia, Leury","544725","2022","31","300","315","63","52","8","0","3","65","7",20.6,2.2,".210",".267",".233","0.500",".221",".258",30,4.2,35.6,"97.781782479","92.939701197",24.4,56.4,,"2"
"Allen, Nick","669397","2022","23","299","326","62","45","13","0","4","64","19",19.6,5.8,".207",".291",".256","0.547",".245",".238",26,1.2,22.3,"94.329041897","91.214480087",22.7,53,,
"Reyes, Victor","622682","2022","27","315","336","80","55","19","3","3","77","13",22.9,3.9,".254",".362",".289","0.651",".284",".292",35.5,5,36.8,"98.899174333","93.571189707",27.1,56,,"-2"
"Bichette, Bo","666182","2022","24","652","697","189","121","43","1","24","155","41",22.2,5.9,".290",".469",".333","0.802",".347",".334",33.3,9.6,50.3,"102.743171296","96.003278846",23,55.9,,
"McCarthy, Jake","664983","2022","24","321","354","91","64","16","3","8","76","23",21.5,6.5,".283",".427",".342","0.769",".337",".298",32.5,4.8,33.7,"98.235931513","93.298753151",27.4,53.1,,"-1"
"García, Avisaíl","541645","2022","31","357","380","80","63","9","0","8","109","17",28.7,4.5,".224",".317",".266","0.583",".258",".281",27.6,6.4,44.8,"101.460367339","95.003346734",36.7,59,,"0"
"Raleigh, Cal","663728","2022","25","370","415","78","30","20","1","27","122","38",29.4,9.2,".211",".489",".284","0.773",".330",".324",36,15.4,43.5,"101.200073622","95.046335375",32.1,52.6,"83.8",
"Guillorme, Luis","641645","2022","27","297","335","81","66","12","1","2","46","34",13.7,10.1,".273",".340",".351","0.691",".311",".302",35.6,2.4,24.9,"95.53920878","91.784068496",13.3,40.6,,
"Verdugo, Alex","657077","2022","26","593","644","166","115","39","1","11","86","42",13.4,6.5,".280",".405",".328","0.733",".319",".329",37.8,6,38.2,"99.112574241","93.706486823",15.5,45.3,,"-5"
"Pujols, Albert","405395","2022","42","307","351","83","45","14","0","24","55","28",15.7,8,".270",".550",".345","0.895",".380",".365",34.5,12,47.3,"102.064436899","95.425491822",21.3,48.2,,
"Freeman, Freddie","518692","2022","32","612","708","199","129","47","2","21","102","84",14.4,11.9,".325",".511",".407","0.918",".393",".403",42.9,9.9,47.8,"100.761588016","95.094269494",19.5,49.3,,
"Torkelson, Spencer","679529","2022","22","360","404","73","48","16","1","8","99","37",24.5,9.2,".203",".319",".285","0.604",".272",".302",35.4,8.4,41.8,"100.743731756","94.657766412",25.6,45.9,,
"Paredes, Isaac","670623","2022","23","331","381","68","32","16","0","20","67","44",17.6,11.5,".205",".435",".304","0.739",".323",".297",27.4,6.4,38.7,"98.355538496","93.255665472",16.5,39.8,,
